Time	WHP_psig
0:01	342
0:02	321
0:03	318
0:04	306
0:05	324
0:06	317
0:07	322
0:08	308
0:09	339
0:10	334
0:11	310
0:12	304
0:13	311
0:14	319
0:15	321
0:16	346
0:17	350
0:18	303
0:19	323
0:20	322
0:21	315
0:22	311
0:23	302
0:24	311
0:25	328
0:26	337
0:27	342
0:28	308
0:29	324
0:30	338
0:31	308
0:32	308
0:33	305
0:34	307
0:35	327
0:36	333
0:37	307
0:38	300
0:39	329
0:40	318
0:41	321
0:42	320
0:43	347
0:44	330
0:45	307
0:46	326
0:47	315
0:48	328
0:49	336
0:50	343
0:51	323
0:52	349
0:53	331
0:54	311
0:55	347
0:56	327
0:57	325
0:58	347
0:59	308
1:00	333
1:01	340
1:02	301
1:03	342
1:04	340
1:05	324
1:06	315
1:07	332
1:08	301
1:09	348
1:10	319
1:11	310
1:12	338
1:13	332
1:14	323
1:15	325
1:16	308
1:17	306
1:18	327
1:19	333
1:20	340
1:21	303
1:22	342
1:23	313
1:24	323
1:25	349
1:26	302
1:27	319
1:28	308
1:29	303
1:30	311
1:31	307
1:32	301
1:33	340
1:34	326
1:35	332
1:36	300
1:37	335
1:38	305
1:39	321
1:40	337
1:41	303
1:42	323
1:43	300
1:44	304
1:45	315
1:46	350
1:47	307
1:48	308
1:49	338
1:50	325
1:51	323
1:52	347
1:53	303
1:54	325
1:55	335
1:56	317
1:57	349
1:58	313
1:59	345
2:00	330
2:01	312
2:02	311
2:03	301
2:04	302
2:05	327
2:06	340
2:07	337
2:08	342
2:09	339
2:10	333
2:11	343
2:12	304
2:13	323
2:14	350
2:15	318
2:16	335
2:17	318
2:18	333
2:19	319
2:20	309
2:21	346
2:22	314
2:23	311
2:24	343
2:25	337
2:26	321
2:27	311
2:28	304
2:29	341
2:30	334
2:31	335
2:32	350
2:33	335
2:34	349
2:35	320
2:36	335
2:37	301
2:38	321
2:39	335
2:40	348
2:41	336
2:42	306
2:43	306
2:44	336
2:45	317
2:46	314
2:47	344
2:48	306
2:49	319
2:50	327
2:51	313
2:52	311
2:53	331
2:54	343
2:55	322
2:56	315
2:57	344
2:58	346
2:59	330
3:00	332
3:01	342
3:02	309
3:03	330
3:04	302
3:05	347
3:06	350
3:07	335
3:08	329
3:09	333
3:10	350
3:11	302
3:12	341
3:13	314
3:14	305
3:15	313
3:16	338
3:17	339
3:18	316
3:19	305
3:20	339
3:21	327
3:22	311
3:23	336
3:24	330
3:25	303
3:26	312
3:27	313
3:28	300
3:29	336
3:30	306
3:31	343
3:32	346
3:33	324
3:34	347
3:35	316
3:36	301
3:37	324
3:38	349
3:39	310
3:40	312
3:41	308
3:42	343
3:43	323
3:44	350
3:45	300
3:46	302
3:47	300
3:48	320
3:49	333
3:50	337
3:51	334
3:52	338
3:53	338
3:54	313
3:55	307
3:56	349
3:57	325
3:58	329
3:59	307
4:00	301
4:01	316
4:02	341
4:03	302
4:04	333
4:05	307
4:06	342
4:07	304
4:08	330
4:09	304
4:10	342
4:11	346
4:12	313
4:13	337
4:14	317
4:15	350
4:16	305
4:17	327
4:18	306
4:19	323
4:20	345
4:21	341
4:22	303
4:23	311
4:24	306
4:25	306
4:26	343
4:27	340
4:28	309
4:29	300
4:30	324
4:31	343
4:32	347
4:33	327
4:34	313
4:35	327
4:36	315
4:37	316
4:38	300
4:39	322
4:40	300
4:41	338
4:42	340
4:43	304
4:44	333
4:45	310
4:46	319
4:47	322
4:48	341
4:49	328
4:50	329
4:51	346
4:52	345
4:53	310
4:54	325
4:55	316
4:56	350
4:57	311
4:58	332
4:59	331
5:00	311
5:01	316
5:02	324
5:03	307
5:04	348
5:05	327
5:06	343
5:07	336
5:08	343
5:09	331
5:10	323
5:11	321
5:12	336
5:13	325
5:14	303
5:15	311
5:16	328
5:17	302
5:18	300
5:19	329
5:20	346
5:21	348
5:22	317
5:23	312
5:24	317
5:25	328
5:26	348
5:27	316
5:28	306
5:29	306
5:30	316
5:31	330
5:32	312
5:33	307
5:34	350
5:35	319
5:36	335
5:37	349
5:38	324
5:39	345
5:40	301
5:41	344
5:42	319
5:43	350
5:44	327
5:45	332
5:46	340
5:47	300
5:48	301
5:49	334
