MD	TVD	FP
2679.41	2576.64	221.93
2619.49	2524.65	216.36
2591	2498.87	213.72
2871.76	3127.71	320.02
2871.92	3127.99	320.042
2877.09	3136.74	320.385
2881.43	3144.07	320.713
2886.49	3152.61	321.05
2897.2	3170.73	321.827
2909.7	3191.85	322.677
2927.35	3221.68	323.892
2938.67	3240.73	324.698
2947.11	3254.85	325.298
2952.29	3263.51	325.702
2951.85	3262.78	325.686
2970.18	3293.55	328.056
2970.4	3294	334.101
2978.6	3307.73	335.61
2988.7	3324.65	341.713
2994.05	3333.57	69.279
3025.98	3386.51	354.001
3036.23	3403.53	357.714
3026.27	3386.99	368.706
3036.26	3403.57	368.818
3060.23	3443.36	364.901
3083.4	3481.7	343.08
3088.67	3490.41	343.876
