DEPTH,CARB_FLAG,COAL_FLAG,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,SAND_FLAG,depth_m,OBG,OBG_inc,NCL,Mud,PP-3,PP-2.5,PP-2
1368.7044,,,152.749801,120.349998,0.44870001,0.92180001,1.72119998,9.97509956,1.73189997,1.1466,,1368.7044,0.3728414407193689,3600.372841440719,148.93664671128755,1943.888737056,2064.8721088354932,2045.3399883306602,2025.5594122417206
1368.8568,,,151.107299,122.3581,0.42359998,0.96399998,1.72730004,10.0172004,2.3045001,1.11240005,,1368.8568,0.37416281835433424,3600.7470042590735,148.93019016534194,1944.105181632,2014.68367175186,2003.1329428127483,1991.498094068147
1369.0092,,,153.146392,119.6072,0.39359998,0.9659,1.7256,10.0113,2.3506999,1.02620005,,1369.0092,0.3737945605282561,3601.120798819602,148.92373366973908,1944.321626208,2077.6248359623232,2056.1768253628466,2034.4268663697476
1369.1616,,,151.787597,122.000503,0.45579999,1.01310002,1.74119997,10.0038995,2.41170001,0.92150002,,1369.1616,0.37717378162839743,3601.4979726012302,148.91727722447894,1944.538070784,2036.771597254663,2021.7638378939364,2006.6121346177893
1369.314,,,150.264892,121.560302,0.4363,1.04840004,1.75380003,10.0010004,2.27839994,0.89590001,,1369.314,0.3799031707628027,3601.8778757719933,148.91082082956152,1944.75451536,1989.1501898349945,1981.8343809533285,1974.4853854028524
1369.4664,,,149.669998,121.560302,0.493,1.04840004,1.77470004,9.99699974,2.27839994,0.89590001,,1369.4664,0.38443047144255815,3602.262306243436,148.90436448498684,1944.9709599359999,1970.2745872739733,1966.0843056635554,1961.8832651118962
1369.6188,,,148.460403,121.367797,0.4535,1.04840004,1.76419997,9.99530029,2.27839994,0.89590001,,1369.6188,0.38215597616487734,3602.6444622196004,148.89790819075486,1945.1874045119998,1930.4908567672423,1932.9492998624348,1935.4041284915677
1369.7712,,,145.468902,121.175201,0.4472,1.03970003,1.74749994,9.99530029,2.23020005,0.88590002,,1369.7712,0.3785384631985708,3603.023000682799,148.89145194686563,1945.4038490879998,1825.629578536013,1846.1767083167435,1866.4863079384415
1369.9236,,,146.367202,120.982696,0.40369999,1.03970003,1.70990002,9.99530029,2.23020005,0.88590002,,1369.9236,0.3703936755465671,3603.3933943583456,148.88499575331912,1945.6202936640002,1858.5896899082557,1873.4057810325978,1888.0960605509438
1370.076,,,144.778793,122.193099,0.39899998,1.03970003,1.69229996,4.75029993,2.23020005,0.88590002,,1370.076,0.36658120064336186,3603.759975558989,148.87853961011533,1945.8367382400002,1800.9669728411423,1825.9624820312029,1850.611431478282
1370.2284,,,148.945404,125.769203,0.50779998,1.03970003,1.69509994,4.30880022,2.23020005,0.88590002,,1370.2284,0.36718772434154684,3604.1271632833304,148.87208351725428,1946.0531828159997,1948.500608778001,1948.0929554674333,1947.6852017832512
1370.3808,,,149.7583,130.363098,0.4871,1.02009999,1.72080004,4.13290023,2.25869989,0.89130002,,1370.3808,0.37275480685489426,3604.4999180901855,148.86562747473596,1946.2696273919996,1975.746137987697,1970.870027087029,1965.9793182417204
1370.5332,,,151.868103,127.612197,0.5647,1.04560005,1.717,4.15010023,2.23379993,0.98610001,,1370.5332,0.3719316530059201,3604.8718497431914,148.85917148256033,1946.486071968,2043.117757660822,2027.4126403357825,2011.549591162545
1370.6856,,,145.955902,120.927696,0.71359997,1.04560005,1.67239999,4.26410007,1.71060001,0.97399997,,1370.6856,0.36227052578205243,3605.2341202689736,148.85271554072747,1946.702516544,1845.9780679102053,1863.1805601826634,1880.214841727645
1370.838,,,143.287399,110.474403,0.90890002,1.03999996,1.62329995,4.35430002,1.55649995,0.9483,,1370.838,0.3516346148677504,3605.585754883841,148.8462596492373,1946.91896112,1746.2880653051798,1781.3373868934852,1815.7259993599075
1370.9904,,,142.185897,111.189598,0.80690002,1.04219996,1.59619998,4.42449998,1.36469995,0.85629999,,1370.9904,0.34576429649936896,3605.9315191803407,148.8398038080899,1947.135405696,1703.1859933762184,1746.2035355412172,1788.248530978962
1371.1428,,,143.262893,113.747901,0.46810001,0.98809999,1.58679997,4.48070001,1.39260005,0.86699998,,1371.1428,0.34372809308785346,3606.2752472734287,148.8333480172852,1947.3518502719999,1746.2196063313404,1781.360131357498,1815.836774899719
1371.2952,,,141.159896,118.616897,0.54079997,1.02170002,1.56819999,4.52670001,1.28209996,0.81779998,,1371.2952,0.3396990183602605,3606.614946291789,148.82689227682323,1947.5682948479998,1662.2899988968707,1713.0342968525233,1762.454236048874
1371.4476,,,140.048599,117.901702,0.62300002,1.19920003,1.54429996,4.55679988,1.51470005,0.89770001,,1371.4476,0.3345218618868819,3606.9494681536758,148.82043658670398,1947.7847394239998,1616.088539042338,1675.6526686816017,1733.434712245538
1371.6,,,140.773101,117.901702,0.64209997,0.986,1.54700005,4.57200002,2.73060011,1.20280003,,1371.6,0.33510674769757776,3607.284574901373,148.81398094692747,1948.0011839999997,1647.1190904826087,1700.8113554577044,1753.0328980162121
