Days	Qgas_mmscf	Whp_psig	
0	0	146.699	
1	0.84567	8499.389	
2	2.3659035	8337.408	
3	2.421954	8294.621	
4	2.2977	8209.047	
5	2.680113	8126.528	
6	2.7819	8099.022	
7	2.6943	8071.516	
8	2.71887	8028.729	
9	2.697411	7988.998	
10	2.6754	7976.772	
11	2.6352	7946.21	
12	2.6328	7912.592	
13	2.2732725	7930.929	
14	2.57625	7882.029	
15	1.910376	7842.298	
16	2.643594	7811.736	
17	2.6091	7790.342	
18	2.590005	7762.836	
19	2.42385	7750.611	
20	2.5087965	7732.274	
21	2.49075	7710.88	
22	2.4829095	7686.43	
23	2.472606	7661.98	
24	2.5689	7637.531	
25	2.4545025	7619.193	
26	2.537106	7545.844	
27	2.49495	7524.45	
28	2.6106	7493.888	
29	2.5980315	7466.381	
30	2.5442775	7448.044	
31	2.5698	7420.538	
32	2.524269	7399.144	
33	2.755854	7316.626	
34	2.770677	7289.12	
35	2.7616575	7264.67	
36	2.7525555	7240.22	
37	2.742798	7221.883	
38	2.7318	7200.489	
39	2.7179775	7185.208	
40	2.666043	7166.871	
41	2.507655	7154.646	
42	2.6882595	7133.252	
43	2.6704755	7117.971	
44	2.6644905	7096.577	
45	2.65035	7081.296	
46	2.640258	7066.015	
47	2.7711885	6992.665	
48	2.847033	6968.215	
49	2.83245	6946.821	
50	2.7529695	6928.484	
51	2.7617445	6937.653	
52	2.74446	6913.203	
53	2.505231	6888.753	
54	2.816877	6867.359	
55	2.7904245	6845.966	
56	2.8049295	6830.685	
57	2.620149	6812.347	
58	2.7739785	6800.122	
59	0	6784.841	
60	2.7443565	6766.504	
61	2.728809	6751.223	
62	2.7119175	6735.941	
63	2.71371	6720.66	
64	2.6902815	6702.323	
65	2.699388	6687.042	
66	2.6430735	6668.704	
67	2.6277135	6656.479	
68	2.6775075	6641.198	
69	2.532543	7004.89	
70	2.680968	6610.636	
71	2.6573025	6595.354	
72	2.6554455	6580.073	
73	2.6467395	6564.792	
74	2.63427	6549.511	
75	2.609976	6531.174	
76	2.634978	6503.667	
77	2.4887235	6518.949	
78	2.6166105	6491.442	
79	2.608974	6479.218	
80	2.6020155	6463.937	
81	2.600985	6448.655	
82	2.3795655	6445.599	
83	2.4945045	6433.374	
84	2.5221915	6415.037	
85	2.5477665	6329.462	
86	2.536164	6384.474	
87	2.5345755	6378.362	
88	2.569626	6363.081	
89	2.5000395	6347.799	
90	2.5085805	6332.519	
91	2.5126665	6320.293	
92	2.460189	6305.012	
93	2.43948	6298.9	
94	2.488551	6283.619	
95	2.4844125	6271.394	
96	2.37309	6256.112	
97	2.368386	6253.056	
98	2.4647805	6234.719	
99	2.458137	6222.494	
100	2.4570315	6210.269	
101	2.4498675	6194.988	
102	2.444109	6179.707	
103	2.408793	6170.538	
104	2.466327	6155.257	
105	2.4267915	6143.032	
106	2.416488	6130.807	
107	2.418984	6115.526	
108	2.401368	6106.357	
109	2.3926215	6091.076	
110	2.395878	6078.851	
111	2.39988	6069.682	
112	2.3767005	6060.514	
113	2.371368	6045.232	
114	2.3649285	6036.063	
115	2.359791	6023.839	
116	2.3463825	6011.614	
117	2.284377	5999.389	
118	2.1830895	6002.445	
119	2.313324	5993.276	
120	2.3116485	5984.107	
121	2.3090055	5968.826	
122	2.304453	5962.714	
123	2.298615	5947.433	
124	2.2925595	5932.151	
125	0	5840.464	
126	2.534868	5816.015	
127	2.5353135	5800.733	
128	2.5130415	5785.452	
129	2.507616	5767.115	
130	2.501253	5751.834	
131	2.4921405	5736.553	
132	2.4828765	5721.271	
133	2.473386	5709.046	
134	2.46222	5690.709	
135	2.327424	5687.653	
136	2.458407	5675.428	
137	2.414913	5660.146	
138	0	5644.866	
139	2.327694	5654.034	
140	2.4362595	5626.528	
141	2.2503225	5623.472	
142	2.4225795	5602.078	
143	2.416647	5589.854	
144	2.2547715	5574.572	
145	2.298018	5547.066	
146	2.446242	5540.954	
147	2.4368295	5528.729	
148	2.4288045	5513.447	
149	2.3149575	5501.223	
150	2.404146	5485.941	
151	2.3897475	5473.716	
152	2.4330315	5458.435	
153	2.432679	5446.21	
154	2.3016525	5504.279	
155	2.334381	5427.873	
156	2.375418	5415.648	
157	2.3464035	5400.367	
158	2.343639	5388.142	
159	2.128857	5443.154	
160	2.20452	5375.917	
161	2.313762	5360.636	
162	2.3639835	5345.354	
163	2.315829	5333.129	
164	2.3026215	5320.905	
165	2.313933	5308.68	
166	2.2403475	5299.511	
167	2.2943685	5284.23	
168	2.2579335	5272.005	
169	2.2605525	5262.836	
170	2.2768245	5253.667	
171	2.1077355	5259.78	
172	2.137815	5232.274	
173	2.121303	5232.274	
174	2.228232	5216.993	
175	2.2123305	5198.655	
176	2.2528935	5186.43	
177	2.2128075	5174.206	
178	2.2056255	5165.037	
179	2.179167	5155.868	
180	2.1623625	5143.643	
181	2.1861195	5134.474	
182	2.181807	5122.25	
183	2.179524	5110.024	
184	2.1722865	5100.856	
185	2.148606	5088.631	
186	2.1454305	5082.519	
187	2.15922	5067.237	
188	2.142786	5055.012	
189	2.117067	5048.9	
190	2.0998665	5036.675	
191	2.128329	5021.394	
192	2.1254235	5012.225	
193	2.089347	5003.056	
194	2.1112095	4993.888	
195	2.1121005	4981.663	
196	2.10255	4972.494	
197	1.8395865	5012.225	
198	2.1149895	4960.269	
199	2.092524	4948.044	
200	1.9256685	4951.1	
201	2.089776	4938.875	
202	2.0897925	4923.594	
203	2.0786655	4914.425	
204	2.074032	4899.144	
205	2.0707545	4889.976	
206	2.0597775	4877.75	
